number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0090,Gohiri,"l,w,w,w,l,w,l,w",8,15,24,45,0,0,0.625,0.625,"Wanope,Tonides,Toliv v6.73,Humia,Iavis v40.72,Zuter,Wonus,Ioliv"
#0068,Fucury,"l,w,l,l,l,l,l,w",8,6,24,27,0,0,0.330,0.375,"Suria Mk XCVII,Vucarro v33.11,Jatania,Fabos,Nalea v36.5,Megantu,Vophus,Sugantu"
#0112,Matania,"w,l,w,l,w,w,l,w",8,15,24,42,0,0,0.625,0.583,"Yutera Mk LXXXIV,Negantu,Futis,Jatania,Senus Mk XLIX,Fatera,Tuvis,Zoclite"
#0067,Rozuno,"l,w,l,l,w,l,l,w",8,9,24,33,0,0,0.375,0.458,"Ienov,Qunus,Tepra,Ferilia,Jeliv,Hunus v28.9,Peter,Nutera"
#0064,Zoclite,"l,w,w,w,w,l,l,l",8,12,24,42,0,0,0.500,0.583,"Rugawa,Nalea v36.5,Purilia Mk XXXV,Yutania,Soter v3.44,Xetune,Turilia v28.53,Matania"
#0051,Xaturn,"l,l,l,l,w,l,l,l",8,3,24,12,0,0,0.330,0.330,"Bonope,Sugantu,Lacarro,Quphus,Vophus,Nehiri,Yestea,Dovis v46.22"
#0013,Tewei v11.69,"l,w,w,w,w,w,l,w,l",9,18,27,54,0,0,0.667,0.667,"Haruta Mk XLIX,Wehines Mk L,Yocarro Mk XLVII,Quwei,Soria,Wonus,Petania Mk LXXXVII,Wustea Mk LXXXVI,Sulara v35.90"
#0001,Gaphus,"w,l,w,w,l,w,w,w",8,18,24,51,0,0,0.750,0.708,"Relia v12.42,Ioliv,Pucarro,Pucury v46.28,Funerth,Tepra,Guthea,Haruta Mk XLIX"
#0131,Iunus v35.24,"l,w,l,l,l,l,w,l",8,6,24,18,0,0,0.330,0.330,"Fuwei,Manope Mk XXXVII,Durus v12.47,Vucarro v33.11,Yocarro Mk XLVII,Henerth Mk VIII,Qunus,Quphus"
#0032,Later,"l,w,l,w,l,l,w,l",8,9,24,24,0,0,0.375,0.333,"Soria,Yestea,Humia,Hunus v28.9,Bowei,Danov,Megantu,Durus v12.47"
#0095,Rugawa,"w,w,l,w,w,w,l,w,w,w,l",11,24,33,75,0,0,0.727,0.758,"Zoclite,Haruta Mk XLIX,Ianov,Nalea v36.5,Keclite,Buwei,Negantu,Decarro,Doyama Mk VII,Sulara v35.90,Xetune"
#0027,Yutania,"w,w,l,l,l,w,w,w",8,15,24,45,0,0,0.625,0.625,"Peter,Nehiri,Soter v3.44,Zoclite,Ferilia,Peturn,Ronus v28.11,Vathea"
#0104,Nutera,"l,l,l,l,w,w,l,l",8,6,24,18,0,0,0.330,0.330,"Guthea,Dutune,Vucarro v33.11,Dayama,Yestea,Futer,Nalea v36.5,Rozuno"
#0042,Potera,"w,l,l,w,l,l,l,l",8,6,24,21,0,0,0.330,0.330,"Vetania,Funerth,Bonope,Futis,Durus v12.47,Yocarro Mk XLVII,Jolea,Purilia Mk XXXV"
#0080,Fuwei,"w,l,w,w,l,l,w,w",8,15,24,42,0,0,0.625,0.583,"Iunus v35.24,Xunus Mk XII,Fatera,Vathea,Felea,Haruta Mk XLIX,Wuturn v18.96,Secarro"
#0025,Iapra,"l,l,w,w,l,l,w,l",8,9,24,36,0,0,0.375,0.500,"Juzuno v16.41,Durus v12.47,Jolea,Futer,Vucarro v33.11,Manope Mk XXXVII,Toliv v6.73,Nostea"
#0114,Negantu,"w,w,l,w,w,w,w,l,l",9,18,27,57,0,0,0.667,0.704,"Hunus v28.9,Matania,Sulara v35.90,Turilia v28.53,Jatania,Ianov,Rugawa,Wanope,Xunus Mk XII"
#0117,Cethea,"w,w,l,w,w,l,l,l",8,12,24,33,0,0,0.500,0.458,"Vophus,Peturn,Decarro,Julea,Tepra,Huyama,Haruta Mk XLIX,Nalea v36.5"
#0003,Tubos,"w,l,l,l,w,w,l,w",8,12,24,42,0,0,0.500,0.583,"Pecury,Kunope,Juzuno v16.41,Nonia,Qewei Mk XCV,Qunus,Ioliv,Cotania"
#0096,Funerth,"w,w,w,l,w,l,w,l",8,15,24,48,0,0,0.625,0.667,"Fupra,Potera,Senus Mk XLIX,Ianov,Gaphus,Petania Mk LXXXVII,Nanov,Keclite"
#0071,Secarro,"w,w,l,w,l,l,w,l",8,12,24,42,0,0,0.500,0.583,"Manope Mk XXXVII,Herilia v14.82,Fanov v33.40,Wahiri Mk LXXIV,Zostea,Dutune,Lethea Mk XCVII,Fuwei"
#0089,Lanus,"w,l,w,l,l,w,w,w",8,15,24,45,0,0,0.625,0.625,"Yocarro Mk XLVII,Qaturn,Ferilia,Zostea,Nanov,Bonope,Humia,Vucarro v33.11"
#0043,Dayama,"l,l,l,w,w,w,w,l",8,12,24,36,0,0,0.500,0.500,"Yenus,Humia,Danov,Nutera,Xocury,Wuter Mk XVII,Soter v3.44,Juzuno v16.41"
#0014,Qewei Mk XCV,"l,l,w,l,l,w,l,w",8,9,24,30,0,0,0.375,0.417,"Qalea,Futis,Yutera Mk LXXXIV,Getis,Tubos,Quphus,Wuter Mk XVII,Iuzuno"
#0132,Vetania,"l,w,l,w,l,w,l,l",8,9,24,30,0,0,0.375,0.417,"Potera,Selia,Dutune,Wuwei v12.30,Zuter,Fabos,Fatera,Wunus"
#0054,Halea v22.63,"l,w,l,l,w,l,w,w",8,12,24,39,0,0,0.500,0.542,"Ioliv,Pecury,Ienov,Wuter Mk XVII,Suria Mk XCVII,Pucury v46.28,Wanus v30.81,Futis"
#0141,Quphus,"l,l,l,w,l,l,w,w",8,9,24,24,0,0,0.375,0.333,"Jenides,Hunus v28.9,Zuter,Xaturn,Toliv v6.73,Qewei Mk XCV,Futer,Iunus v35.24"
#0060,Tonides,"l,l,l,w,l,l,l",8,6,23,24,0,1,0.330,0.348,"Pucarro,Gohiri,Quwei,Iuzuno,Wanus v30.81,Suria Mk XCVII,Foter"
#0006,Sophus,"l,w,w,w,l,l,l,w",8,12,24,39,0,0,0.500,0.542,"Quwei,Jeliv,Nehiri,Bonope,Xotune v29.73,Nanov,Zuter,Nonia"
#0107,Danov,"l,l,w,w,l,w,l,w",8,12,24,39,0,0,0.500,0.542,"Tepra,Iavis v40.72,Dayama,Qunus,Kunope,Later,Wehines Mk L,Fabos"
#0011,Wuwei v12.30,"l,w,l,l,l,l,w,l",8,6,24,24,0,0,0.330,0.333,"Selea,Dovis v46.22,Tenia,Vetania,Huthea,Jeliv,Sugantu,Yutera Mk LXXXIV"
#0075,Jenides,"w,l,l,w,w,l,l,w",8,12,24,36,0,0,0.500,0.500,"Quphus,Waria v41.6,Herilia v14.82,Huthea,Bonope,Jatania,Qaturn,Jolea"
#0072,Xulia,"l,l,l,w,l,w,l,w",8,9,24,24,0,0,0.375,0.333,"Julea,Bowei,Peter,Megantu,Selia,Yestea,Fabos,Nehiri"
#0030,Yenus,"w,w,l,w,l,l,w,w",8,15,24,42,0,0,0.625,0.583,"Dayama,Qewei,Wonus,Yayama,Huyama,Soria,Senus Mk XLIX,Monus"
#0048,Yayama,"w,w,l,l,l,w,w,w",8,15,24,48,0,0,0.625,0.667,"Durus v12.47,Pucarro,Huyama,Yenus,Wahiri Mk LXXIV,Cotania,Qewei,Selea"
#0004,Pecury,"l,l,l,l,l,l,l",8,3,23,21,0,1,0.330,0.330,"Tubos,Halea v22.63,Fabos,Jolea,Cuvis,Iuzuno,Peturn"
#0139,Konus Mk LVIII,"l,l,w,l,w,l,l,l",8,6,24,21,0,0,0.330,0.330,"Keclite,Nonia,Iuzuno,Wehines Mk L,Sugantu,Pucarro,Cuvis,Xocury"
#0057,Ienov,"w,l,w,w,l,w,l,w",8,15,24,39,0,0,0.625,0.542,"Rozuno,Petania Mk LXXXVII,Halea v22.63,Nostea,Buwei,Nonia,Julea,Jatania"
#0108,Getis,"l,w,l,w,l,w,w,w",8,15,24,33,0,0,0.625,0.458,"Zostea,Jolea,Relia v12.42,Qewei Mk XCV,Julea,Quwei,Wunus,Wehines Mk L"
#0097,Foter,"w,l,l,l,l,l,w,w",8,9,24,30,0,0,0.375,0.417,"Qunus,Soter v3.44,Buwei,Wuturn v18.96,Tenia,Jolea,Tonides,Selia"
#0083,Hunus v28.9,"l,w,l,l,w,w,w,w",8,15,24,45,0,0,0.625,0.625,"Negantu,Quphus,Vathea,Later,Jolea,Rozuno,Durus v12.47,Pucarro"
#0033,Lacarro,"l,l,w,l,w,l,w,l",8,9,24,24,0,0,0.375,0.333,"Nostea,Wunus,Xaturn,Bowei,Futer,Futis,Jeliv,Humia"
#0133,Felea,"l,w,w,w,w,w,w,l,l",9,18,27,48,0,0,0.667,0.593,"Wustea Mk LXXXVI,Fupra,Suria Mk XCVII,Kunope,Fuwei,Monus,Sulara v35.90,Petania Mk LXXXVII,Huyama"
#0130,Doruta,"w,w,w,w,w,w,w,w,w,l",10,27,30,72,0,0,0.900,0.800,"Xocury,Honov,Keclite,Doyama Mk VII,Xetune,Sulara v35.90,Xotune v29.73,Huyama,Wonus,Xetune"
#0050,Dovis v46.22,"l,l,w,l,l,l,l,w",8,6,24,27,0,0,0.330,0.375,"Nehiri,Wuwei v12.30,Xocury,Wunus,Futis,Yutera Mk LXXXIV,Iuzuno,Xaturn"
#0078,Zuter,"l,l,w,w,w,l,w,l",8,12,24,36,0,0,0.500,0.500,"Xetune,Huthea,Quphus,Sugantu,Vetania,Gohiri,Sophus,Dutune"
#0059,Qewei,"w,l,l,w,l,w,l,w",8,12,24,27,0,0,0.500,0.375,"Henerth Mk VIII,Yenus,Wahiri Mk LXXIV,Manope Mk XXXVII,Nostea,Selia,Yayama,Lethea Mk XCVII"
#0066,Ferilia,"w,l,l,w,w,l,w,w",8,15,24,42,0,0,0.625,0.583,"Wunus,Ronus v28.11,Lanus,Rozuno,Yutania,Wahiri Mk LXXIV,Kunope,Manope Mk XXXVII"
#0040,Wuter Mk XVII,"l,w,l,w,l,l,w,l",8,9,24,27,0,0,0.375,0.375,"Petania Mk LXXXVII,Henerth Mk VIII,Julea,Halea v22.63,Juzuno v16.41,Dayama,Qewei Mk XCV,Bowei"
#0041,Toliv v6.73,"l,l,l,w,l,l,w",8,9,23,21,0,1,0.375,0.330,"Tenia,Gohiri,Fatera,Quphus,Wehines Mk L,Iapra,Megantu"
#0070,Qunus,"l,l,w,l,w,l,l,w",8,9,24,27,0,0,0.375,0.375,"Foter,Rozuno,Henerth Mk VIII,Danov,Manope Mk XXXVII,Tubos,Iunus v35.24,Qustea"
#0094,Monus,"w,w,w,l,w,l,l,l",8,12,24,39,0,0,0.500,0.542,"Bowei,Quwei,Turilia v28.53,Fanov v33.40,Honov,Felea,Xetune,Yenus"
#0085,Fupra,"l,l,w,w,w,w,w,l",8,15,24,51,0,0,0.625,0.708,"Funerth,Felea,Megantu,Cotania,Qalea,Ronus v28.11,Tenia,Zostea"
#0045,Futer,"l,w,l,l,l,l,l,l",8,3,24,15,0,0,0.330,0.330,"Xotune v29.73,Vophus,Nanov,Iapra,Lacarro,Nutera,Quphus,Yestea"
#0039,Cuvis,"w,l,l,l,w,l,w,l",8,9,24,30,0,0,0.375,0.417,"Fabos,Sulara v35.90,Honov,Qalea,Pecury,Nalea v36.5,Konus Mk LVIII,Kunope"
#0136,Tuvis,"w,w,l,w,w,l,w,w",8,18,24,48,0,0,0.750,0.667,"Qustea,Cotania,Petania Mk LXXXVII,Tenia,Wustea Mk LXXXVI,Xotune v29.73,Matania,Turilia v28.53"
#0038,Selia,"l,l,w,l,w,l,l,l",8,6,24,24,0,0,0.330,0.333,"Honov,Vetania,Vophus,Purilia Mk XXXV,Xulia,Qewei,Nehiri,Foter"
#0126,Wanus v30.81,"l,l,l,w,w,l,l,w",8,9,24,21,0,0,0.375,0.330,"Ianov,Vathea,Wehines Mk L,Yestea,Tonides,Humia,Halea v22.63,Vophus"
#0120,Waria v41.6,"w,w,w,l,l,w,w,w",8,18,24,57,0,0,0.750,0.792,"Wehines Mk L,Jenides,Pucury v46.28,Petania Mk LXXXVII,Decarro,Wuturn v18.96,Soria,Qater"
#0017,Wonus,"w,w,w,l,w,l,w,w,l",9,18,27,51,0,0,0.667,0.630,"Iavis v40.72,Selea,Yenus,Xunus Mk XII,Logawa,Tewei v11.69,Gohiri,Julea,Doruta"
#0102,Huyama,"w,w,w,w,w,w,w,l,w,w,w,w",12,33,36,96,0,0,0.917,0.889,"Dutune,Juzuno v16.41,Yayama,Ioliv,Yenus,Cethea,Fanov v33.40,Doruta,Felea,Fanov v33.40,Xunus Mk XII,Xetune"
#0125,Soter v3.44,"w,w,w,l,l,l,l,l",8,9,24,30,0,0,0.375,0.417,"Nalea v36.5,Foter,Yutania,Xetune,Zoclite,Julea,Dayama,Senus Mk XLIX"
#0134,Tetune,"l,l,w,w,w,l,w,l",8,12,24,42,0,0,0.500,0.583,"Turilia v28.53,Wuturn v18.96,Yestea,Peter,Pucury v46.28,Guthea,Tepra,Fatera"
#0010,Xocury,"l,l,l,l,w,l,w",8,9,23,21,0,1,0.375,0.330,"Doruta,Buwei,Dovis v46.22,Dayama,Sugantu,Henerth Mk VIII,Konus Mk LVIII"
#0119,Xunus Mk XII,"w,w,w,w,l,w,w,w,w,w,l",11,27,33,75,0,0,0.818,0.758,"Buwei,Fuwei,Lethea Mk XCVII,Wonus,Fanov v33.40,Doyama Mk VII,Iavis v40.72,Xotune v29.73,Negantu,Petania Mk LXXXVII,Huyama"
#0081,Wustea Mk LXXXVI,"w,l,w,w,l,w,w,l",8,15,24,48,0,0,0.625,0.667,"Felea,Keclite,Wuturn v18.96,Guthea,Tuvis,Kunope,Juzuno v16.41,Tewei v11.69"
#0087,Doyama Mk VII,"w,w,w,l,w,l,w,w,l",9,18,27,42,0,0,0.667,0.519,"Ronus v28.11,Qater,Kunope,Doruta,Qaturn,Xunus Mk XII,Selea,Ianov,Rugawa"
#0099,Vathea,"l,w,w,l,w,l,w,l",8,12,24,39,0,0,0.500,0.542,"Wahiri Mk LXXIV,Wanus v30.81,Hunus v28.9,Fuwei,Peturn,Logawa,Huthea,Yutania"
#0115,Lethea Mk XCVII,"l,l,w,w,l,l,l",8,9,23,30,0,1,0.375,0.435,"Nostea,Xunus Mk XII,Suria Mk XCVII,Qustea,Qater,Secarro,Qewei"
#0079,Dutune,"l,w,w,w,l,w,l,w",8,15,24,45,0,0,0.625,0.625,"Huyama,Nutera,Vetania,Senus Mk XLIX,Ronus v28.11,Secarro,Decarro,Zuter"
#0077,Vucarro v33.11,"l,l,w,w,w,l,w,l",8,12,24,42,0,0,0.500,0.583,"Qaturn,Fucury,Nutera,Iunus v35.24,Iapra,Keclite,Bowei,Lanus"
#0055,Sulara v35.90,"w,w,w,w,w,l,l,w,w,l",10,21,30,63,0,0,0.700,0.700,"Wuturn v18.96,Cuvis,Negantu,Decarro,Petania Mk LXXXVII,Doruta,Felea,Honov,Tewei v11.69,Rugawa"
#0103,Xotune v29.73,"w,w,w,l,w,w,l,l",8,15,24,39,0,0,0.625,0.542,"Futer,Suria Mk XCVII,Nostea,Wanope,Sophus,Tuvis,Doruta,Xunus Mk XII"
#0005,Cotania,"w,l,l,l,w,l,w,l",8,9,24,27,0,0,0.375,0.375,"Sugantu,Tuvis,Qustea,Fupra,Nehiri,Yayama,Yutera Mk LXXXIV,Tubos"
#0016,Purilia Mk XXXV,"w,l,l,w,l,l,l,w",8,9,24,24,0,0,0.375,0.333,"Iuzuno,Pucury v46.28,Zoclite,Selia,Guthea,Qalea,Suria Mk XCVII,Potera"
#0037,Decarro,"w,w,w,l,w,l,w,l",8,15,24,33,0,0,0.625,0.458,"Fatera,Zostea,Cethea,Sulara v35.90,Waria v41.6,Iavis v40.72,Dutune,Rugawa"
#0019,Iavis v40.72,"l,w,w,w,w,w,l,w,l",9,18,27,54,0,0,0.667,0.667,"Wonus,Danov,Huthea,Selea,Gohiri,Decarro,Xunus Mk XII,Logawa,Petania Mk LXXXVII"
#0009,Relia v12.42,"l,w,w,l,l,l,l,w",8,9,24,24,0,0,0.375,0.333,"Gaphus,Yutera Mk LXXXIV,Getis,Herilia v14.82,Haruta Mk XLIX,Senus Mk XLIX,Bonope,Jeliv"
#0046,Henerth Mk VIII,"l,l,l,w,l,w,w,l",8,9,24,30,0,0,0.375,0.417,"Qewei,Wuter Mk XVII,Qunus,Yutera Mk LXXXIV,Peter,Iunus v35.24,Xocury,Quwei"
#0062,Nanov,"l,w,w,l,w,w,l,l",8,12,24,42,0,0,0.500,0.583,"Senus Mk XLIX,Fabos,Futer,Keclite,Lanus,Sophus,Funerth,Qalea"
#0024,Wehines Mk L,"l,l,w,w,l,w,w,l",8,12,24,39,0,0,0.500,0.542,"Waria v41.6,Tewei v11.69,Wanus v30.81,Konus Mk LVIII,Qater,Toliv v6.73,Danov,Getis"
#0002,Nonia,"l,w,l,w,w,l,l,l",8,9,24,30,0,0,0.375,0.417,"Kunope,Konus Mk LVIII,Selea,Tubos,Pucarro,Ienov,Qalea,Sophus"
#0105,Nalea v36.5,"l,l,l,w,w,w,w",8,15,23,45,0,1,0.625,0.652,"Soter v3.44,Zoclite,Rugawa,Fucury,Cuvis,Nutera,Cethea"
#0008,Tepra,"w,l,w,w,l,l,l,l",8,9,24,33,0,0,0.375,0.458,"Danov,Guthea,Rozuno,Peturn,Cethea,Gaphus,Tetune,Peter"
#0118,Pucarro,"w,l,l,w,l,w,w,l",8,12,24,36,0,0,0.500,0.500,"Tonides,Yayama,Gaphus,Nehiri,Nonia,Konus Mk LVIII,Nostea,Hunus v28.9"
#0110,Keclite,"w,w,l,w,l,w,w,w",8,18,24,42,0,0,0.750,0.583,"Konus Mk LVIII,Wustea Mk LXXXVI,Doruta,Nanov,Rugawa,Vucarro v33.11,Jatania,Funerth"
#0023,Manope Mk XXXVII,"l,l,w,l,l,w,w,l",8,9,24,33,0,0,0.375,0.458,"Secarro,Iunus v35.24,Jeliv,Qewei,Qunus,Iapra,Peturn,Ferilia"
#0106,Jatania,"w,l,w,w,l,w,l,l",8,12,24,48,0,0,0.500,0.667,"Huthea,Senus Mk XLIX,Fucury,Matania,Negantu,Jenides,Keclite,Ienov"
#0020,Humia,"l,w,w,l,l,w,l,w",8,12,24,33,0,0,0.500,0.458,"Qater,Dayama,Later,Gohiri,Fatera,Wanus v30.81,Lanus,Lacarro"
#0035,Haruta Mk XLIX,"w,l,w,l,w,w,w,l",8,15,24,45,0,0,0.625,0.625,"Tewei v11.69,Rugawa,Wunus,Honov,Relia v12.42,Fuwei,Cethea,Gaphus"
#0031,Ianov,"w,w,w,w,l,l,w,l",8,15,24,48,0,0,0.625,0.667,"Wanus v30.81,Julea,Rugawa,Funerth,Wanope,Negantu,Herilia v14.82,Doyama Mk VII"
#0007,Nostea,"w,w,l,l,w,l,l,w",8,12,24,30,0,0,0.500,0.417,"Lacarro,Lethea Mk XCVII,Xotune v29.73,Ienov,Qewei,Turilia v28.53,Pucarro,Iapra"
#0022,Yocarro Mk XLVII,"l,w,l,l,w,w,l,w",8,12,24,33,0,0,0.500,0.458,"Lanus,Peter,Tewei v11.69,Qater,Iunus v35.24,Potera,Logawa,Suria Mk XCVII"
#0092,Yestea,"l,l,l,l,l,l,w,w",8,6,24,27,0,0,0.330,0.375,"Pucury v46.28,Later,Tetune,Wanus v30.81,Nutera,Xulia,Xaturn,Futer"
#0076,Qater,"w,l,l,w,w,w,w,l",8,15,24,45,0,0,0.625,0.625,"Humia,Doyama Mk VII,Ronus v28.11,Yocarro Mk XLVII,Wehines Mk L,Lethea Mk XCVII,Wahiri Mk LXXIV,Waria v41.6"
#0113,Kunope,"w,w,l,l,w,l,l,w",8,12,24,39,0,0,0.500,0.542,"Nonia,Tubos,Doyama Mk VII,Felea,Danov,Wustea Mk LXXXVI,Ferilia,Cuvis"
#0021,Selea,"w,l,w,l,w,w,l,l",8,12,24,42,0,0,0.500,0.583,"Wuwei v12.30,Wonus,Nonia,Iavis v40.72,Fabos,Qaturn,Doyama Mk VII,Yayama"
#0028,Senus Mk XLIX,"w,w,l,l,l,w,l,w",8,12,24,39,0,0,0.500,0.542,"Nanov,Jatania,Funerth,Dutune,Matania,Relia v12.42,Yenus,Soter v3.44"
#0098,Suria Mk XCVII,"w,l,l,l,l,w,w,l",8,9,24,24,0,0,0.375,0.333,"Fucury,Xotune v29.73,Felea,Lethea Mk XCVII,Halea v22.63,Tonides,Purilia Mk XXXV,Yocarro Mk XLVII"
#0061,Wuturn v18.96,"l,w,l,w,w,l,l,l",8,9,24,27,0,0,0.375,0.375,"Sulara v35.90,Tetune,Wustea Mk LXXXVI,Foter,Wunus,Waria v41.6,Fuwei,Ronus v28.11"
#0086,Peturn,"w,l,w,l,l,l,l,w",8,9,24,24,0,0,0.375,0.333,"Jeliv,Cethea,Sugantu,Tepra,Vathea,Yutania,Manope Mk XXXVII,Pecury"
#0129,Peter,"l,l,w,l,w,l,w,w",8,12,24,30,0,0,0.500,0.417,"Yutania,Yocarro Mk XLVII,Xulia,Tetune,Henerth Mk VIII,Huthea,Rozuno,Tepra"
#0093,Megantu,"l,l,l,l,w,l,l",8,6,23,15,0,1,0.330,0.330,"Logawa,Qustea,Fupra,Xulia,Fucury,Later,Toliv v6.73"
#0101,Fabos,"l,l,w,w,l,l,w,l",8,9,24,24,0,0,0.375,0.333,"Cuvis,Nanov,Pecury,Fucury,Selea,Vetania,Xulia,Danov"
#0124,Fanov v33.40,"w,w,w,w,w,w,l,w,w,l",10,24,30,66,0,0,0.800,0.733,"Futis,Logawa,Secarro,Monus,Xunus Mk XII,Wanope,Huyama,Xetune,Zostea,Huyama"
#0128,Xetune,"w,w,w,w,l,w,w,l,w,w,w,l",12,27,36,72,0,0,0.750,0.667,"Zuter,Wahiri Mk LXXIV,Soria,Soter v3.44,Doruta,Zoclite,Monus,Fanov v33.40,Wanope,Doruta,Rugawa,Huyama"
#0084,Iuzuno,"l,l,l,l,l,w,w,l",8,6,24,24,0,0,0.330,0.333,"Purilia Mk XXXV,Fatera,Konus Mk LVIII,Tonides,Yutera Mk LXXXIV,Pecury,Dovis v46.22,Qewei Mk XCV"
#0082,Qaturn,"w,w,l,w,l,l,w,w",8,15,24,39,0,0,0.625,0.542,"Vucarro v33.11,Lanus,Ioliv,Ronus v28.11,Doyama Mk VII,Selea,Jenides,Wahiri Mk LXXIV"
#0135,Durus v12.47,"l,w,w,l,w,l,l,w",8,12,24,36,0,0,0.500,0.500,"Yayama,Iapra,Iunus v35.24,Soria,Potera,Juzuno v16.41,Hunus v28.9,Later"
#0052,Qustea,"l,w,w,l,l,l,l,l",8,6,24,24,0,0,0.330,0.333,"Tuvis,Megantu,Cotania,Buwei,Lethea Mk XCVII,Wunus,Quwei,Qunus"
#0069,Bonope,"w,l,w,l,l,l,w,l",8,9,24,36,0,0,0.375,0.500,"Xaturn,Soria,Potera,Sophus,Jenides,Lanus,Relia v12.42,Huthea"
#0137,Juzuno v16.41,"w,l,w,l,w,w,l,w",8,15,24,51,0,0,0.625,0.708,"Iapra,Huyama,Tubos,Logawa,Wuter Mk XVII,Durus v12.47,Wustea Mk LXXXVI,Dayama"
#0100,Turilia v28.53,"w,w,l,l,w,w,w,l",8,15,24,39,0,0,0.625,0.542,"Tetune,Qalea,Monus,Negantu,Quwei,Nostea,Zoclite,Tuvis"
#0088,Julea,"w,l,w,l,w,w,w,l",8,15,24,42,0,0,0.625,0.583,"Xulia,Ianov,Wuter Mk XVII,Cethea,Getis,Soter v3.44,Ienov,Wonus"
#0036,Tenia,"w,l,w,l,w,w,l,l",8,12,24,42,0,0,0.500,0.583,"Toliv v6.73,Wanope,Wuwei v12.30,Tuvis,Foter,Ioliv,Fupra,Soria"
#0091,Qalea,"w,l,l,w,l,w,w,w",8,15,24,45,0,0,0.625,0.625,"Qewei Mk XCV,Turilia v28.53,Logawa,Cuvis,Fupra,Purilia Mk XXXV,Nonia,Nanov"
#0058,Guthea,"w,w,l,l,w,w,l,w",8,15,24,42,0,0,0.625,0.583,"Nutera,Tepra,Wanope,Wustea Mk LXXXVI,Purilia Mk XXXV,Tetune,Gaphus,Buwei"
#0056,Wahiri Mk LXXIV,"w,l,w,l,w,w,l,l",8,12,24,30,0,0,0.500,0.417,"Vathea,Xetune,Qewei,Secarro,Yayama,Ferilia,Qater,Qaturn"
