number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0043,Dayama,"l,l,w,l,l,w,w,l",8,9,24,30,0,0,0.375,0.417,"Durus v12.47,Qalea,Fucury,Foter,Wahiri Mk LXXIV,Yutera Mk LXXXIV,Zuter,Xotune v29.73"
#0088,Julea,"w,w,l,l,l,w,l,w",8,12,24,39,0,0,0.500,0.542,"Dutune,Suria Mk XCVII,Fupra,Yenus,Yutania,Qunus,Nalea v36.5,Nostea"
#0077,Vucarro v33.11,"l,w,w,l,l,l,w,l",8,9,24,30,0,0,0.375,0.417,"Petania Mk LXXXVII,Selia,Lethea Mk XCVII,Waria v41.6,Doyama Mk VII,Dutune,Cuvis,Qalea"
#0120,Waria v41.6,"l,w,w,w,w,w,l,l",8,15,24,36,0,0,0.625,0.500,"Koturn,Yutera Mk LXXXIV,Zoclite,Vucarro v33.11,Yocarro Mk XLVII,Fuwei,Wustea Mk LXXXVI,Sulara v35.90"
#0151,Iutov,"w,w,w,l,l,l,w,l",8,12,24,33,0,0,0.500,0.458,"Gaphus,Wuwei v12.30,Ronope Mk LXVIII,Danov,Nanov,Juzuno v16.41,Halea v22.63,Kunope"
#0021,Selea,"w,l,w,l,l,w,w,w",8,15,24,45,0,0,0.625,0.625,"Futer,Xetune,Halea v22.63,Totera,Durus v12.47,Soter v3.44,Yocarro Mk XLVII,Muhiri v31.23"
#0037,Decarro,"w,w,w,l,w,l,w,w,w,l",10,21,30,48,0,0,0.700,0.533,"Qunus,Senus Mk XLIX,Yolia v39.2,Huyama,Herilia v14.82,Funerth,Nunerth,Tuvis,Futurn Mk LXXIX,Wustea Mk LXXXVI"
#0072,Xulia,"l,l,l,l,w,l,l",8,6,23,21,0,1,0.330,0.330,"Tepra,Pucury v46.28,Wahiri Mk LXXIV,Lacarro,Henerth Mk VIII,Vathea,Dovis v46.22"
#0131,Iunus v35.24,"l,l,l,l,l,w,w,w",8,9,24,33,0,0,0.375,0.458,"Suria Mk XCVII,Wanus v30.81,Huthea,Getis,Konus Mk LVIII,Selia,Peturn,Tonides"
#0115,Lethea Mk XCVII,"w,l,l,l,l,w,w,l",8,9,24,33,0,0,0.375,0.458,"Pucury v46.28,Felea,Vucarro v33.11,Ronus v28.11,Cuvis,Yestea,Qewei Mk XCV,Guthea"
#0058,Guthea,"l,w,l,l,w,w,l,w",8,12,24,39,0,0,0.500,0.542,"Yenus,Lacarro,Gaphus,Dutune,Potera,Yonia,Honov,Lethea Mk XCVII"
#0127,Quwei,"l,w,w,l,w,l,l,w",8,12,24,39,0,0,0.500,0.542,"Futurn Mk LXXIX,Yonia,Wuwei v12.30,Funerth,Dutune,Tenia,Durus v12.47,Tepra"
#0130,Doruta,"w,w,w,l,w,w,w,w,l",9,21,27,66,0,0,0.778,0.815,"Iuzuno,Peter,Logawa,Keclite,Negantu,Yenus,Tuvis,Iavis v40.72,Huyama"
#0076,Qater,"l,w,w,l,w,w,w,l",8,15,24,39,0,0,0.625,0.542,"Tenia,Futer,Xotune v29.73,Iavis v40.72,Jolea,Muhiri v31.23,Peter,Fuwei"
#0099,Vathea,"w,w,l,l,l,l,w,w",8,12,24,39,0,0,0.500,0.542,"Quphus,Nalea v36.5,Tetune,Wonus,Wuter Mk XVII,Halea v22.63,Xulia,Qewei"
#0132,Vetania,"w,l,l,w,l,l,w,l",8,9,24,33,0,0,0.375,0.458,"Yestea,Tepra,Yayama,Cuvis,Manope Mk XXXVII,Senus Mk XLIX,Relia v12.42,Nonia"
#0074,Petania Mk LXXXVII,"w,w,l,w,w,l,w,l",8,15,24,54,0,0,0.625,0.750,"Vucarro v33.11,Later,Rugawa,Wuter Mk XVII,Tetune,Iavis v40.72,Cethea,Tewei v11.69"
#0075,Jenides,"l,w,w,l,l,w,l,w",8,12,24,36,0,0,0.500,0.500,"Matania,Sugantu,Fatera,Hunus v28.9,Fanov v33.40,Later,Yayama,Yonia"
#0087,Doyama Mk VII,"w,l,w,l,w,w,w,l",8,15,24,48,0,0,0.625,0.667,"Qewei Mk XCV,Rugawa,Cotania,Xunus Mk XII,Vucarro v33.11,Jatania,Matania,Koturn"
#0145,Yolia v39.2,"w,w,l,w,l,l,w,w",8,15,24,48,0,0,0.625,0.667,"Wanus v30.81,Tubos,Decarro,Cotania,Fuwei,Lanus,Manope Mk XXXVII,Bowei"
#0062,Nanov,"l,w,w,w,w,l,w,l",8,15,24,39,0,0,0.625,0.542,"Nonia,Ronus v28.11,Qewei,Soria,Iutov,Wanope,Ienov,Danov"
#0026,Jolea,"l,w,l,w,l,w,l,l",8,9,24,27,0,0,0.375,0.375,"Wanope,Huthea,Nonia,Wanus v30.81,Qater,Getis,Muhiri v31.23,Turilia v28.53"
#0056,Wahiri Mk LXXIV,"l,l,w,l,w,w,l,w",8,12,24,33,0,0,0.500,0.458,"Sulara v35.90,Mustea Mk XIII,Xulia,Kunope,Dayama,Zuter,Gaphus,Wehines Mk L"
#0031,Ianov,"w,w,w,w,w,w,w,l,l",9,21,27,51,0,0,0.778,0.630,"Yocarro Mk XLVII,Iavis v40.72,Wehines Mk L,Tewei v11.69,Danov,Sulara v35.90,Felea,Wanope,Iavis v40.72"
#0065,Huthea,"l,l,w,w,w,l,l,l",8,9,24,33,0,0,0.375,0.458,"Tetune,Jolea,Iunus v35.24,Vophus,Nehiri,Ienov,Wuter Mk XVII,Soria"
#0018,Buwei,"w,l,w,w,l,l,l,w",8,12,24,36,0,0,0.500,0.500,"Yutera Mk LXXXIV,Haruta Mk XLIX,Ferilia,Manope Mk XXXVII,Hunus v28.9,Wonus,Gohiri,Bonope"
#0057,Ienov,"l,l,w,w,w,w,l,l",8,12,24,30,0,0,0.500,0.417,"Tewei v11.69,Fanov v33.40,Pecury,Wehines Mk L,Wunus,Huthea,Nanov,Keclite"
#0106,Jatania,"l,w,w,l,w,l,l,w",8,12,24,39,0,0,0.500,0.542,"Soria,Qaturn,Fabos,Muhiri v31.23,Foter,Doyama Mk VII,Monus,Wunus"
#0105,Nalea v36.5,"w,l,l,l,w,w,w,l",8,12,24,42,0,0,0.500,0.583,"Lacarro,Vathea,Koturn,Halea v22.63,Jeliv,Quphus,Julea,Juzuno v16.41"
#0134,Tetune,"w,w,w,l,l,w,l,l",8,12,24,39,0,0,0.500,0.542,"Huthea,Relia v12.42,Vathea,Wanope,Petania Mk LXXXVII,Iapra,Fanov v33.40,Gohiri"
#0053,Zostea,"w,l,w,w,l,w,l,w",8,15,24,45,0,0,0.625,0.625,"Gohiri,Keclite,Qalea,Iapra,Tewei v11.69,Yayama,Secarro,Fatera"
#0121,Sugantu,"l,l,w,l,l,w,l,l",8,6,24,18,0,0,0.330,0.330,"Relia v12.42,Jenides,Futer,Qalea,Quphus,Iuzuno,Wehines Mk L,Qewei Mk XCV"
#0085,Fupra,"w,w,w,l,w,w,l,l",8,15,24,45,0,0,0.625,0.625,"Qalea,Nonia,Julea,Sulara v35.90,Muhiri v31.23,Keclite,Rugawa,Negantu"
#0150,Nunerth,"l,w,w,w,l,w,l,w",8,15,24,42,0,0,0.625,0.583,"Tubos,Zuter,Pucury v46.28,Monus,Pucarro,Toliv v6.73,Decarro,Lanus"
#0048,Yayama,"l,w,w,l,w,l,w,w",8,15,24,39,0,0,0.625,0.542,"Haruta Mk XLIX,Wuturn v18.96,Vetania,Gaphus,Yonia,Zostea,Jenides,Monus"
#0060,Tonides,"l,l,l,l,w,w,l,l",8,6,24,18,0,0,0.330,0.330,"Funerth,Toliv v6.73,Qewei Mk XCV,Qustea,Xocury,Peturn,Purilia Mk XXXV,Iunus v35.24"
#0136,Tuvis,"w,l,w,w,w,w,l,l",8,15,24,42,0,0,0.625,0.583,"Cuvis,Monus,Soter v3.44,Juzuno v16.41,Gaphus,Nuthea,Doruta,Decarro"
#0144,Muhiri v31.23,"w,l,w,w,l,l,w,l",8,12,24,36,0,0,0.500,0.500,"Soter v3.44,Pucarro,Senus Mk XLIX,Jatania,Fupra,Qater,Jolea,Selea"
#0035,Haruta Mk XLIX,"w,w,w,l,w,l,w,l",8,15,24,42,0,0,0.625,0.583,"Yayama,Buwei,Ioliv,Xetune,Peter,Tewei v11.69,Lanus,Nuthea"
#0051,Xaturn,"l,l,l,l,l,l,l",8,3,23,12,0,1,0.330,0.330,"Xunus Mk XII,Yocarro Mk XLVII,Cethea,Quphus,Selia,Xocury,Yutera Mk LXXXIV"
#0002,Nonia,"w,l,w,l,l,w,l,w",8,12,24,33,0,0,0.500,0.458,"Nanov,Fupra,Jolea,Nuthea,Humia,Bonope,Pucury v46.28,Vetania"
#0109,Ioliv,"w,w,l,w,l,l,w,w",8,15,24,42,0,0,0.625,0.583,"Konus Mk LVIII,Kunope,Haruta Mk XLIX,Sophus,Bowei,Yutania,Zoclite,Ronope Mk LXVIII"
#0061,Wuturn v18.96,"l,l,l,w,w,w,w,w",8,15,24,48,0,0,0.625,0.667,"Lanus,Yayama,Rozuno,Xocury,Futis,Wehines Mk L,Tepra,Yutania"
#0041,Toliv v6.73,"l,w,w,l,w,l,w,w",8,15,24,39,0,0,0.625,0.542,"Sophus,Tonides,Cuvis,Bowei,Megantu,Nunerth,Wanus v30.81,Wuter Mk XVII"
#0095,Rugawa,"w,w,w,l,l,w,w,l",8,15,24,42,0,0,0.625,0.583,"Nostea,Doyama Mk VII,Petania Mk LXXXVII,Futurn Mk LXXIX,Koturn,Sophus,Fupra,Yenus"
#0050,Dovis v46.22,"l,l,l,w,l,w,l,w",8,9,24,27,0,0,0.375,0.375,"Peter,Dutune,Jeliv,Futer,Senus Mk XLIX,Potera,Yonia,Xulia"
#0153,Mustea Mk XIII,"l,w,w,l,w,w,w,l",8,15,24,45,0,0,0.625,0.625,"Danov,Wahiri Mk LXXIV,Juter Mk LXVII,Fuwei,Ferilia,Yocarro Mk XLVII,Bowei,Funerth"
#0010,Xocury,"l,l,l,l,l,w,l,l",8,3,24,9,0,0,0.330,0.330,"Wuwei v12.30,Soter v3.44,Yonia,Wuturn v18.96,Tonides,Xaturn,Potera,Peturn"
#0092,Yestea,"l,w,l,l,l,l,l",8,6,23,21,0,1,0.330,0.330,"Vetania,Peturn,Iapra,Nostea,Qaturn,Lethea Mk XCVII,Wuwei v12.30"
#0012,Yutera Mk LXXXIV,"l,l,l,l,l,l,w",8,6,23,21,0,1,0.330,0.330,"Buwei,Waria v41.6,Nutera,Lacarro,Dayama,Jeliv,Xaturn"
#0070,Qunus,"l,l,w,l,w,l,l,w",8,9,24,27,0,0,0.375,0.375,"Decarro,Secarro,Quphus,Yonia,Wuwei v12.30,Julea,Ferilia,Lacarro"
#0081,Wustea Mk LXXXVI,"w,w,w,w,l,w,w,l,w,w,l",11,24,33,72,0,0,0.727,0.727,"Fanov v33.40,Vophus,Yenus,Matania,Huyama,Bowei,Waria v41.6,Felea,Koturn,Decarro,Sulara v35.90"
#0007,Nostea,"l,l,w,w,l,w,l,l",8,9,24,27,0,0,0.375,0.375,"Rugawa,Yutania,Gohiri,Yestea,Kunope,Cuvis,Fatera,Julea"
#0024,Wehines Mk L,"w,l,l,l,w,l,w,l",8,9,24,39,0,0,0.375,0.542,"Yutania,Soria,Ianov,Ienov,Purilia Mk XXXV,Wuturn v18.96,Sugantu,Wahiri Mk LXXIV"
#0107,Danov,"w,w,w,w,l,w,l,w,l",9,18,27,60,0,0,0.667,0.741,"Mustea Mk XIII,Humia,Soria,Iutov,Ianov,Hunus v28.9,Xunus Mk XII,Nanov,Sulara v35.90"
#0108,Getis,"l,l,l,w,w,l,w,l",8,9,24,36,0,0,0.375,0.500,"Foter,Juter Mk LXVII,Turilia v28.53,Iunus v35.24,Qewei Mk XCV,Jolea,Qustea,Purilia Mk XXXV"
#0032,Later,"w,l,w,l,l,l,l,w",8,9,24,21,0,0,0.375,0.330,"Henerth Mk VIII,Petania Mk LXXXVII,Wunus,Pucarro,Tenia,Jenides,Soter v3.44,Nehiri"
#0080,Fuwei,"w,w,l,w,w,l,w,w,w,l",10,21,30,54,0,0,0.700,0.600,"Juter Mk LXVII,Durus v12.47,Futurn Mk LXXIX,Mustea Mk XIII,Yolia v39.2,Waria v41.6,Kunope,Qater,Negantu,Yenus"
#0143,Ronope Mk LXVIII,"w,w,l,l,l,l,w,l",8,9,24,24,0,0,0.375,0.333,"Rozuno,Fabos,Iutov,Yocarro Mk XLVII,Sophus,Turilia v28.53,Futis,Ioliv"
#0068,Fucury,"l,l,l,w,w,w,l,l",8,9,24,21,0,0,0.375,0.330,"Honov,Gaphus,Dayama,Konus Mk LVIII,Iuzuno,Qewei,Iapra,Yocarro Mk XLVII"
#0034,Pucury v46.28,"l,w,l,w,w,l,w,l",8,12,24,39,0,0,0.500,0.542,"Lethea Mk XCVII,Xulia,Nunerth,Purilia Mk XXXV,Fatera,Secarro,Nonia,Logawa"
#0001,Gaphus,"l,w,w,w,l,l,w,w",8,15,24,42,0,0,0.625,0.583,"Iutov,Fucury,Guthea,Yayama,Tuvis,Negantu,Wahiri Mk LXXIV,Peter"
#0064,Zoclite,"l,w,l,w,w,l,l,w",8,12,24,39,0,0,0.500,0.542,"Huyama,Qustea,Waria v41.6,Senus Mk XLIX,Halea v22.63,Kunope,Ioliv,Foter"
#0025,Iapra,"l,w,w,l,w,l,w,l",8,12,24,27,0,0,0.500,0.375,"Negantu,Qewei Mk XCV,Yestea,Zostea,Qewei,Tetune,Fucury,Juter Mk LXVII"
#0082,Qaturn,"l,l,w,w,w,l,w,l",8,12,24,39,0,0,0.500,0.542,"Fatera,Jatania,Qustea,Jeliv,Yestea,Herilia v14.82,Turilia v28.53,Senus Mk XLIX"
#0004,Pecury,"l,l,l,l,w,l,l,l",8,3,24,15,0,0,0.330,0.330,"Nehiri,Potera,Ienov,Gohiri,Futer,Qustea,Suria Mk XCVII,Fabos"
#0114,Negantu,"w,w,w,l,l,w,w,w,l",9,18,27,48,0,0,0.667,0.593,"Iapra,Tenia,Funerth,Felea,Doruta,Gaphus,Juter Mk LXVII,Fupra,Fuwei"
#0111,Herilia v14.82,"w,l,w,w,l,w,w,l",8,15,24,45,0,0,0.625,0.625,"Yonia,Tewei v11.69,Durus v12.47,Honov,Decarro,Qaturn,Keclite,Secarro"
#0016,Purilia Mk XXXV,"w,l,l,l,l,w,w,w",8,12,24,30,0,0,0.500,0.417,"Qewei,Manope Mk XXXVII,Yutania,Pucury v46.28,Wehines Mk L,Suria Mk XCVII,Tonides,Getis"
#0006,Sophus,"w,l,w,l,w,l,l,w",8,12,24,42,0,0,0.500,0.583,"Toliv v6.73,Yenus,Megantu,Ioliv,Ronope Mk LXVIII,Rugawa,Tubos,Konus Mk LVIII"
#0138,Bowei,"w,l,w,w,w,l,l,l",8,12,24,36,0,0,0.500,0.500,"Ferilia,Funerth,Suria Mk XCVII,Toliv v6.73,Ioliv,Wustea Mk LXXXVI,Mustea Mk XIII,Yolia v39.2"
#0055,Sulara v35.90,"w,w,w,w,w,l,w,w,w,w,w,l",12,30,36,75,0,0,0.833,0.694,"Wahiri Mk LXXIV,Nehiri,Totera,Fupra,Xetune,Ianov,Tewei v11.69,Waria v41.6,Danov,Felea,Wustea Mk LXXXVI,Huyama"
#0110,Keclite,"w,w,w,w,l,l,l,w",8,15,24,39,0,0,0.625,0.542,"Ronus v28.11,Zostea,Monus,Doruta,Felea,Fupra,Herilia v14.82,Ienov"
#0067,Rozuno,"l,l,w,l,w,l,l,l",8,6,24,24,0,0,0.330,0.333,"Ronope Mk LXVIII,Halea v22.63,Wuturn v18.96,Humia,Peturn,Soria,Wunus,Cuvis"
#0071,Secarro,"l,w,w,w,l,w,w,w",8,18,24,42,0,0,0.750,0.583,"Monus,Qunus,Tubos,Tepra,Yenus,Pucury v46.28,Zostea,Herilia v14.82"
#0142,Nuthea,"w,w,l,w,w,l,w,w",8,18,24,54,0,0,0.750,0.750,"Wuter Mk XVII,Fatera,Tewei v11.69,Nonia,Soria,Tuvis,Yutania,Haruta Mk XLIX"
#0059,Qewei,"l,w,l,w,l,l,w,l",8,9,24,30,0,0,0.375,0.417,"Purilia Mk XXXV,Konus Mk LVIII,Nanov,Wuwei v12.30,Iapra,Fucury,Megantu,Vathea"
#0152,Koturn,"w,l,w,w,w,w,l,w,l",9,18,27,54,0,0,0.667,0.667,"Waria v41.6,Wonus,Nalea v36.5,Tenia,Rugawa,Futurn Mk LXXIX,Wanope,Doyama Mk VII,Wustea Mk LXXXVI"
#0117,Cethea,"l,w,w,w,l,w,l,l",8,12,24,30,0,0,0.500,0.417,"Iavis v40.72,Henerth Mk VIII,Xaturn,Nehiri,Funerth,Tubos,Petania Mk LXXXVII,Totera"
#0141,Quphus,"l,l,l,w,w,l,l,l",8,6,24,15,0,0,0.330,0.330,"Vathea,Wuter Mk XVII,Qunus,Xaturn,Sugantu,Nalea v36.5,Konus Mk LVIII,Qustea"
#0039,Cuvis,"l,w,l,l,w,l,l,w",8,9,24,30,0,0,0.375,0.417,"Tuvis,Futis,Toliv v6.73,Vetania,Lethea Mk XCVII,Nostea,Vucarro v33.11,Rozuno"
#0054,Halea v22.63,"l,w,l,w,l,w,l,l",8,9,24,21,0,0,0.375,0.330,"Xetune,Rozuno,Selea,Nalea v36.5,Zoclite,Vathea,Iutov,Soter v3.44"
#0079,Dutune,"l,w,l,w,l,w,w,w",8,15,24,45,0,0,0.625,0.625,"Julea,Dovis v46.22,Hunus v28.9,Guthea,Quwei,Vucarro v33.11,Qalea,Matania"
#0083,Hunus v28.9,"l,w,w,w,l,w,w",8,18,23,45,0,1,0.750,0.652,"Totera,Dutune,Jenides,Buwei,Danov,Tenia,Pucarro"
#0091,Qalea,"l,w,l,w,w,l,l,w",8,12,24,42,0,0,0.500,0.583,"Fupra,Dayama,Zostea,Sugantu,Honov,Fanov v33.40,Dutune,Vucarro v33.11"
#0033,Lacarro,"l,l,l,w,w,l,l,l",8,6,24,18,0,0,0.330,0.330,"Nalea v36.5,Guthea,Iuzuno,Yutera Mk LXXXIV,Xulia,Wanus v30.81,Bonope,Qunus"
#0019,Iavis v40.72,"w,l,w,w,w,w,w,l,w,l",10,21,30,60,0,0,0.700,0.667,"Cethea,Ianov,Relia v12.42,Qater,Logawa,Petania Mk LXXXVII,Funerth,Doruta,Ianov,Huyama"
#0084,Iuzuno,"l,l,w,l,l,l,w,l",8,6,24,27,0,0,0.330,0.375,"Doruta,Xotune v29.73,Lacarro,Nutera,Fucury,Sugantu,Vophus,Zuter"
#0047,Futis,"l,l,l,w,l,w,l,l",8,6,24,36,0,0,0.330,0.500,"Humia,Cuvis,Henerth Mk VIII,Selia,Wuturn v18.96,Jeliv,Ronope Mk LXVIII,Megantu"
#0078,Zuter,"l,l,l,w,l,l,w",8,9,23,24,0,1,0.375,0.348,"Bonope,Nunerth,Durus v12.47,Henerth Mk VIII,Wahiri Mk LXXIV,Dayama,Iuzuno"
#0045,Futer,"l,l,l,l,l,l,l",8,3,23,15,0,1,0.330,0.330,"Selea,Qater,Sugantu,Dovis v46.22,Pecury,Selia,Vophus"
#0129,Peter,"w,l,w,w,l,w,l,l",8,12,24,27,0,0,0.500,0.375,"Dovis v46.22,Doruta,Wanus v30.81,Yutania,Haruta Mk XLIX,Manope Mk XXXVII,Qater,Gaphus"
#0052,Qustea,"l,l,l,w,l,w,l,w",8,9,24,24,0,0,0.375,0.333,"Pucarro,Zoclite,Qaturn,Tonides,Wanus v30.81,Pecury,Getis,Quphus"
#0014,Qewei Mk XCV,"l,l,w,l,l,w,l,w",8,9,24,27,0,0,0.375,0.375,"Doyama Mk VII,Iapra,Tonides,Turilia v28.53,Getis,Wuwei v12.30,Lethea Mk XCVII,Sugantu"
#0094,Monus,"w,w,l,l,l,w,w,l",8,12,24,42,0,0,0.500,0.583,"Secarro,Tuvis,Keclite,Nunerth,Juter Mk LXVII,Nehiri,Jatania,Yayama"
#0044,Wunus,"w,l,l,w,l,l,w,l",8,9,24,33,0,0,0.375,0.458,"Nutera,Lanus,Later,Fabos,Ienov,Tepra,Rozuno,Jatania"
#0147,Totera,"w,w,l,w,l,l,w,w",8,15,24,45,0,0,0.625,0.625,"Hunus v28.9,Turilia v28.53,Sulara v35.90,Selea,Xunus Mk XII,Juter Mk LXVII,Soria,Cethea"
#0097,Foter,"w,l,l,w,l,l,w,l",8,9,24,30,0,0,0.375,0.417,"Getis,Futurn Mk LXXIX,Yocarro Mk XLVII,Dayama,Jatania,Gohiri,Nutera,Zoclite"
#0008,Tepra,"w,w,l,l,l,w,l,l",8,9,24,30,0,0,0.375,0.417,"Xulia,Vetania,Huyama,Secarro,Ronus v28.11,Wunus,Wuturn v18.96,Quwei"
#0027,Yutania,"l,w,w,l,w,w,l,l",8,12,24,30,0,0,0.500,0.417,"Wehines Mk L,Nostea,Purilia Mk XXXV,Peter,Julea,Ioliv,Nuthea,Wuturn v18.96"
#0140,Jeliv,"l,l,w,l,l,l,w,l",8,6,24,18,0,0,0.330,0.330,"Senus Mk XLIX,Megantu,Dovis v46.22,Qaturn,Nalea v36.5,Futis,Yutera Mk LXXXIV,Suria Mk XCVII"
#0128,Xetune,"w,w,w,w,l,l,w,l",8,15,24,45,0,0,0.625,0.625,"Halea v22.63,Selea,Wonus,Haruta Mk XLIX,Sulara v35.90,Xunus Mk XII,Humia,Fanov v33.40"
#0126,Wanus v30.81,"l,w,l,l,w,w,l,l",8,9,24,39,0,0,0.375,0.542,"Yolia v39.2,Iunus v35.24,Peter,Jolea,Qustea,Lacarro,Toliv v6.73,Ferilia"
#0086,Peturn,"l,l,w,l,l,l,l,w",8,6,24,18,0,0,0.330,0.330,"Logawa,Yestea,Konus Mk LVIII,Fatera,Rozuno,Tonides,Iunus v35.24,Xocury"
#0023,Manope Mk XXXVII,"w,w,l,l,w,l,l,w",8,12,24,30,0,0,0.500,0.417,"Selia,Purilia Mk XXXV,Matania,Buwei,Vetania,Peter,Yolia v39.2,Cotania"
#0102,Huyama,"w,w,w,w,w,l,w,w,w,w,w,w",12,33,36,93,0,0,0.917,0.861,"Zoclite,Bonope,Tepra,Decarro,Wustea Mk LXXXVI,Felea,Pucarro,Xunus Mk XII,Doruta,Iavis v40.72,Yenus,Sulara v35.90"
#0146,Yonia,"l,l,w,w,l,l,w,l",8,9,24,33,0,0,0.375,0.458,"Herilia v14.82,Quwei,Xocury,Qunus,Yayama,Guthea,Dovis v46.22,Jenides"
#0098,Suria Mk XCVII,"w,l,l,l,l,l,w,w",8,9,24,36,0,0,0.375,0.500,"Iunus v35.24,Julea,Bowei,Ferilia,Bonope,Purilia Mk XXXV,Pecury,Jeliv"
#0022,Yocarro Mk XLVII,"l,w,w,w,l,l,l,w",8,12,24,36,0,0,0.500,0.500,"Ianov,Xaturn,Foter,Ronope Mk LXVIII,Waria v41.6,Mustea Mk XIII,Selea,Fucury"
#0093,Megantu,"l,w,l,w,l,l,l,w",8,9,24,24,0,0,0.375,0.333,"Cotania,Jeliv,Sophus,Potera,Toliv v6.73,Honov,Qewei,Futis"
#0096,Funerth,"w,w,l,w,w,w,l,w",8,18,24,51,0,0,0.750,0.708,"Tonides,Bowei,Negantu,Quwei,Cethea,Decarro,Iavis v40.72,Mustea Mk XIII"
#0040,Wuter Mk XVII,"l,w,w,l,w,l,w,l",8,12,24,33,0,0,0.500,0.458,"Nuthea,Quphus,Vophus,Petania Mk LXXXVII,Vathea,Ronus v28.11,Huthea,Toliv v6.73"
