squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,gameWinPercentage,opponents
Zostea,"w,w,w,l,l,w,w",7,15,21,42,0,0,0.6666666666666666,"Vathea,Relia v12.42,Dayama,Sulara v35.90,Tewei v11.69,Qaturn,Turilia v28.53"
Yocarro Mk XLVII,"w,l,l,w,w,w,l",7,12,21,39,0,0,0.6190476190476191,"Futis,Tewei v11.69,Nanov,Yestea,Logawa,Wahiri Mk LXXIV,Petania Mk LXXXVII"
Tonides,"l,l,w,l,l,w,l",7,6,21,21,0,0,0.3333333333333333,"Turilia v28.53,Rugawa,Qewei Mk XCV,Lacarro,Wehines Mk L,Bonope,Toliv v6.73"
Dayama,"w,w,l,l,w,l,l",7,9,21,33,0,0,0.5238095238095238,"Bonope,Nanov,Zostea,Qater,Nehiri,Wonus,Wahiri Mk LXXIV"
Jenides,"w,l,l,w,l,l,w",7,9,21,36,0,0,0.5714285714285714,"Fabos,Qater,Rugawa,Tenia,Cuvis,Ferilia,Dovis v46.22"
Secarro,"w,w,l,l,w,l,l",7,9,21,30,0,0,0.47619047619047616,"Wahiri Mk LXXIV,Ferilia,Huyama,Honov,Huthea,Qalea,Decarro"
Wahiri Mk LXXIV,"l,l,w,w,w,l,w",7,12,21,39,0,0,0.6190476190476191,"Secarro,Fuwei,Megantu,Jolea,Wuter Mk XVII,Yocarro Mk XLVII,Dayama"
Rugawa,"l,w,w,w,w,w,l",7,15,21,42,0,0,0.6666666666666666,"Ianov,Tonides,Jenides,Petania Mk LXXXVII,Gaphus,Ienov,Nanov"
Zuter,"w,l,w,w,l,w,l",7,12,21,27,0,0,0.42857142857142855,"Futer,Yayama,Wehines Mk L,Relia v12.42,Yenus,Humia,Fupra"
Gohiri,"w,w,l,w,w,l,l",7,12,21,42,0,0,0.6666666666666666,"Nutera,Jolea,Selea,Humia,Vucarro v33.11,Yenus,Wonus"
Nostea,"l,l,w,w,l,l,w",7,9,21,30,0,0,0.47619047619047616,"Gaphus,Fucury,Yutera Mk LXXXIV,Nutera,Vathea,Halea v22.63,Qustea"
Jolea,"w,l,l,l,w,w,l",7,9,21,33,0,0,0.5238095238095238,"Yutania,Gohiri,Guthea,Wahiri Mk LXXIV,Xocury,Purilia Mk XXXV,Wunus"
Lanus,"l,w,w,l,w,l,w",7,12,21,33,0,0,0.5238095238095238,"Logawa,Suria Mk XCVII,Pucury v46.28,Fupra,Ronus v28.11,Turilia v28.53,Qaturn"
Later,"l,l,w,l,w,w,w",7,12,21,42,0,0,0.6666666666666666,"Cuvis,Ronus v28.11,Henerth Mk VIII,Foter,Peturn,Qewei Mk XCV,Zoclite"
Xocury,"l,l,l,l,l,l",7,3,19,9,0,1,0.33,"Qalea,Toliv v6.73,Ferilia,Jolea,Qunus,Pecury"
Iuzuno,"w,l,l,l,w,w,l",7,9,21,24,0,0,0.38095238095238093,"Toliv v6.73,Sulara v35.90,Humia,Doyama Mk VII,Yestea,Qustea,Monus"
Vucarro v33.11,"l,l,w,w,l,l,l",7,6,21,24,0,0,0.38095238095238093,"Nanov,Dutune,Purilia Mk XXXV,Toliv v6.73,Gohiri,Yutania,Suria Mk XCVII"
Wunus,"w,l,w,l,w,l,w",7,12,21,36,0,0,0.5714285714285714,"Halea v22.63,Gaphus,Wuwei v12.30,Guthea,Suria Mk XCVII,Petania Mk LXXXVII,Jolea"
Iavis v40.72,"w,w,w,l,w,w,l",7,15,21,48,0,0,0.7619047619047619,"Suria Mk XCVII,Qewei Mk XCV,Fupra,Huyama,Xotune v29.73,Senus Mk XLIX,Tewei v11.69"
Fupra,"w,w,l,w,w,l,w",7,15,21,42,0,0,0.6666666666666666,"Fucury,Logawa,Iavis v40.72,Lanus,Monus,Huyama,Zuter"
Wuter Mk XVII,"l,w,l,w,l,w,w",7,12,21,33,0,0,0.5238095238095238,"Sulara v35.90,Peturn,Julea,Selia,Wahiri Mk LXXIV,Sophus,Halea v22.63"
Fuwei,"l,w,w,w,w,l,l",7,12,21,45,0,0,0.7142857142857143,"Senus Mk XLIX,Wahiri Mk LXXIV,Cuvis,Haruta Mk XLIX,Qalea,Honov,Xotune v29.73"
Gaphus,"w,w,w,l,l,l,l",7,9,21,33,0,0,0.5238095238095238,"Nostea,Wunus,Qater,Wustea Mk LXXXVI,Rugawa,Nalea v36.5,Pucury v46.28"
Yenus,"w,l,w,w,w,w,w,l,w,l",10,21,30,63,0,0,0.7,"Selia,Huyama,Xaturn,Qaturn,Zuter,Gohiri,Funerth,Funerth,Tewei v11.69,Wustea Mk LXXXVI"
Pecury,"l,l,l,l,l,w,w",7,6,21,18,0,0,0.33,"Xulia,Pucury v46.28,Nutera,Bonope,Potera,Yutera Mk LXXXIV,Xocury"
Iapra,"w,l,l,w,l,w,w",7,12,21,27,0,0,0.42857142857142855,"Tepra,Senus Mk XLIX,Qaturn,Qunus,Qewei,Relia v12.42,Rozuno"
Senus Mk XLIX,"w,w,w,l,w,l,w",7,15,21,33,0,0,0.5238095238095238,"Fuwei,Iapra,Monus,Tewei v11.69,Decarro,Iavis v40.72,Qater"
Haruta Mk XLIX,"l,w,w,l,w,w,w",7,15,21,36,0,0,0.5714285714285714,"Huyama,Tepra,Doyama Mk VII,Fuwei,Qustea,Wuturn v18.96,Ienov"
Huyama,"w,w,w,w,l,w,w,w,w,w,w",11,30,33,87,0,0,0.8787878787878788,"Haruta Mk XLIX,Yenus,Secarro,Iavis v40.72,Wustea Mk LXXXVI,Fupra,Honov,Tewei v11.69,Funerth,Sulara v35.90,Sulara v35.90"
Zoclite,"w,w,l,w,l,l,l",7,9,21,24,0,0,0.38095238095238093,"Wuwei v12.30,Petania Mk LXXXVII,Xotune v29.73,Qewei,Tubos,Cuvis,Later"
Petania Mk LXXXVII,"w,l,w,l,w,w,w",7,15,21,42,0,0,0.6666666666666666,"Ienov,Zoclite,Foter,Rugawa,Relia v12.42,Wunus,Yocarro Mk XLVII"
Qunus,"l,w,l,l,l,w,w",7,9,21,30,0,0,0.47619047619047616,"Julea,Nutera,Tubos,Iapra,Fabos,Xocury,Foter"
Qustea,"l,l,w,w,l,l,l",7,6,21,30,0,0,0.47619047619047616,"Tenia,Wuwei v12.30,Potera,Xulia,Haruta Mk XLIX,Iuzuno,Nostea"
Vophus,"l,w,l,w,w,l,l",7,9,21,24,0,0,0.38095238095238093,"Sophus,Yestea,Yayama,Wehines Mk L,Foter,Dutune,Tepra"
Ianov,"w,w,l,w,w,w,w,l,l",9,18,27,51,0,0,0.6296296296296297,"Rugawa,Foter,Wustea Mk LXXXVI,Ronus v28.11,Wonus,Yayama,Hunus v28.9,Sulara v35.90,Nanov"
Yestea,"l,l,w,l,l,l,w",7,6,21,24,0,0,0.38095238095238093,"Ferilia,Vophus,Futer,Yocarro Mk XLVII,Iuzuno,Toliv v6.73,Xulia"
Bonope,"l,l,l,w,l,l,w",7,6,21,27,0,0,0.42857142857142855,"Dayama,Humia,Halea v22.63,Pecury,Tepra,Tonides,Cotania"
Nonia,"w,l,w,l,l,w,w",7,12,21,39,0,0,0.6190476190476191,"Henerth Mk VIII,Buwei,Lacarro,Qalea,Qaturn,Fabos,Huthea"
Foter,"w,l,l,w,l,w,l",7,9,21,24,0,0,0.38095238095238093,"Ronus v28.11,Ianov,Petania Mk LXXXVII,Later,Vophus,Megantu,Qunus"
Qewei Mk XCV,"l,l,l,w,w,l,w",7,9,21,24,0,0,0.38095238095238093,"Xotune v29.73,Iavis v40.72,Tonides,Futer,Toliv v6.73,Later,Megantu"
Tubos,"w,l,w,w,w,l,l",7,12,21,36,0,0,0.5714285714285714,"Xaturn,Wonus,Qunus,Logawa,Zoclite,Hunus v28.9,Qalea"
Qalea,"w,l,w,w,l,w,w",7,15,21,42,0,0,0.6666666666666666,"Xocury,Selea,Huthea,Nonia,Fuwei,Secarro,Tubos"
Julea,"w,l,w,w,l,l,w",7,12,21,36,0,0,0.5714285714285714,"Qunus,Monus,Wuter Mk XVII,Turilia v28.53,Nanov,Qewei,Fucury"
Xulia,"w,l,l,l,l,l,l",7,3,21,12,0,0,0.33,"Pecury,Nalea v36.5,Vathea,Qustea,Sophus,Peturn,Yestea"
Guthea,"l,w,w,w,l,w,w",7,15,21,33,0,0,0.5238095238095238,"Wustea Mk LXXXVI,Yutania,Jolea,Wunus,Honov,Vathea,Nalea v36.5"
Nehiri,"w,l,l,w,l,l,l",7,6,21,18,0,0,0.33,"Lacarro,Xotune v29.73,Qewei,Fabos,Dayama,Huthea,Relia v12.42"
Cuvis,"w,l,l,w,w,w,l",7,12,21,24,0,0,0.38095238095238093,"Later,Decarro,Fuwei,Sophus,Jenides,Zoclite,Yayama"
Toliv v6.73,"l,w,l,l,l,w,w",7,9,21,27,0,0,0.42857142857142855,"Iuzuno,Xocury,Honov,Vucarro v33.11,Qewei Mk XCV,Yestea,Tonides"
Turilia v28.53,"w,w,l,l,w,w,l",7,12,21,33,0,0,0.5238095238095238,"Tonides,Sophus,Funerth,Julea,Fucury,Lanus,Zostea"
Nalea v36.5,"w,w,l,l,w,w,l",7,12,21,42,0,0,0.6666666666666666,"Dovis v46.22,Xulia,Tewei v11.69,Nanov,Rozuno,Gaphus,Guthea"
Yutera Mk LXXXIV,"l,l,l,l,l,l",7,3,19,9,0,1,0.33,"Yayama,Qaturn,Nostea,Tepra,Purilia Mk XXXV,Pecury"
Huthea,"l,w,l,w,l,w,l",7,9,21,30,0,0,0.47619047619047616,"Decarro,Manope Mk XXXVII,Qalea,Halea v22.63,Secarro,Nehiri,Nonia"
