number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0090,Gohiri,"w,w,l,l,w,l,w,w",8,15,24,45,0,0,0.625,0.625,"Megantu,Konus Mk LVIII,Doruta,Jenides,Suria Mk XCVII,Rugawa,Wuwei v12.30,Qater"
#0054,Halea v22.63,"w,l,l,l,w,l,w,l",8,9,24,36,0,0,0.375,0.500,"Henerth Mk VIII,Wonus,Tenia,Nutera,Bonope,Rozuno,Turilia v28.53,Manope Mk XXXVII"
#0082,Qaturn,"w,w,l,l,w,l,w,w",8,15,24,42,0,0,0.625,0.583,"Futis,Yutania,Wustea Mk LXXXVI,Nuthea,Wuwei v12.30,Senus Mk XLIX,Wuter Mk XVII,Ferilia"
#0114,Negantu,"w,w,w,w,w,w,l,l,w,l",10,21,30,60,0,0,0.700,0.667,"Soter v3.44,Iavis v40.72,Vathea,Funerth,Fuwei,Fanov v33.40,Ianov,Wustea Mk LXXXVI,Herilia v14.82,Xunus Mk XII"
#0048,Yayama,"w,w,w,l,l,w,l,w",8,15,24,45,0,0,0.625,0.625,"Xocury,Quwei,Senus Mk XLIX,Wanope,Secarro,Huthea,Wahiri Mk LXXIV,Soria"
#0081,Wustea Mk LXXXVI,"w,w,w,w,l,w,w,w,w,w,w,w",12,33,36,93,0,0,0.917,0.861,"Nehiri,Tonides,Qaturn,Wonus,Wanope,Keclite,Juzuno v16.41,Negantu,Selea,Fuwei,Ianov,Doruta"
#0142,Nuthea,"w,l,w,w,w,w,w,l,l",9,18,27,51,0,0,0.667,0.630,"Xetune,Sulara v35.90,Yocarro Mk XLVII,Qaturn,Selea,Herilia v14.82,Kunope,Ianov,Ianov"
#0024,Wehines Mk L,"l,w,l,l,w,l,l,l",8,6,24,24,0,0,0.330,0.333,"Ferilia,Ioliv,Wuturn v18.96,Pucarro,Xulia,Yocarro Mk XLVII,Pucury v46.28,Toliv v6.73"
#0023,Manope Mk XXXVII,"l,l,w,w,w,l,l,w",8,12,24,30,0,0,0.500,0.417,"Muhiri v31.23,Haruta Mk XLIX,Rozuno,Potera,Nutera,Tewei v11.69,Lanus,Halea v22.63"
#0041,Toliv v6.73,"l,l,w,l,w,l,l,w",8,9,24,24,0,0,0.375,0.333,"Wahiri Mk LXXIV,Hunus v28.9,Iuzuno,Nalea v36.5,Peturn,Yestea,Foter,Wehines Mk L"
#0045,Futer,"l,l,l,l,w,w,w,l",8,9,24,30,0,0,0.375,0.417,"Wuturn v18.96,Wunus,Peturn,Fucury,Dovis v46.22,Xocury,Megantu,Wuwei v12.30"
#0107,Danov,"w,w,l,w,w,l,w,w",8,18,24,54,0,0,0.750,0.750,"Hunus v28.9,Yocarro Mk XLVII,Rugawa,Futis,Fupra,Wanope,Wunus,Wahiri Mk LXXIV"
#0056,Wahiri Mk LXXIV,"w,w,l,l,w,w,w,l",8,15,24,36,0,0,0.625,0.500,"Toliv v6.73,Soria,Keclite,Gaphus,Yocarro Mk XLVII,Qewei,Yayama,Danov"
#0130,Doruta,"w,w,w,w,l,w,l,w,w,w,w,l",12,27,36,84,0,0,0.750,0.778,"Buwei,Muhiri v31.23,Gohiri,Rugawa,Fanov v33.40,Secarro,Xunus Mk XII,Doyama Mk VII,Fanov v33.40,Funerth,Xunus Mk XII,Wustea Mk LXXXVI"
#0140,Jeliv,"l,l,l,w,l,l,l,w",8,6,24,21,0,0,0.330,0.330,"Vophus,Pucury v46.28,Cuvis,Xaturn,Potera,Tepra,Xocury,Nehiri"
#0013,Tewei v11.69,"w,l,w,w,l,w,l,w",8,15,24,51,0,0,0.625,0.708,"Vucarro v33.11,Fuwei,Hunus v28.9,Ronus v28.11,Xetune,Manope Mk XXXVII,Iavis v40.72,Pucarro"
#0010,Xocury,"l,l,l,l,w,l,w,l",8,6,24,24,0,0,0.330,0.333,"Yayama,Wanus v30.81,Vetania,Megantu,Nehiri,Futer,Jeliv,Lacarro"
#0074,Petania Mk LXXXVII,"w,w,l,w,l,w,l,l",8,12,24,36,0,0,0.500,0.500,"Pecury,Jatania,Qater,Dutune,Ianov,Matania,Fuwei,Tenia"
#0060,Tonides,"w,l,l,l,l,w,l,w",8,9,24,30,0,0,0.375,0.417,"Quphus,Wustea Mk LXXXVI,Iavis v40.72,Zoclite,Zuter,Vetania,Wanus v30.81,Selia"
#0113,Kunope,"w,w,w,l,w,w,l,w,l",9,18,27,51,0,0,0.667,0.630,"Xunus Mk XII,Qunus,Fatera,Ianov,Wuturn v18.96,Tenia,Nuthea,Honov,Funerth"
#0066,Ferilia,"w,l,l,w,w,w,l,l",8,12,24,33,0,0,0.500,0.458,"Wehines Mk L,Secarro,Waria v41.6,Tepra,Monus,Zoclite,Haruta Mk XLIX,Qaturn"
#0077,Vucarro v33.11,"l,w,w,l,l,w,l,l",8,9,24,27,0,0,0.375,0.375,"Tewei v11.69,Cuvis,Pucury v46.28,Zostea,Humia,Iunus v35.24,Fatera,Wuturn v18.96"
#0065,Huthea,"w,w,l,w,l,l,l,l",8,9,24,30,0,0,0.375,0.417,"Dutune,Wuwei v12.30,Funerth,Iapra,Juzuno v16.41,Yayama,Vathea,Soter v3.44"
#0136,Tuvis,"w,l,w,w,w,l,w,l",8,15,24,48,0,0,0.625,0.667,"Ioliv,Rugawa,Sophus,Later,Jenides,Funerth,Gaphus,Sulara v35.90"
#0135,Durus v12.47,"l,w,w,l,w,l,l,l",8,9,24,33,0,0,0.375,0.458,"Qunus,Vetania,Nutera,Juzuno v16.41,Later,Doyama Mk VII,Yutania,Foter"
#0049,Ronus v28.11,"l,w,w,l,w,w,w,l",8,15,24,42,0,0,0.625,0.583,"Fuwei,Rozuno,Pecury,Tewei v11.69,Nostea,Decarro,Jenides,Selea"
#0110,Keclite,"w,w,w,w,l,l,w,w,l",9,18,27,57,0,0,0.667,0.704,"Lanus,Iapra,Wahiri Mk LXXIV,Doyama Mk VII,Huyama,Wustea Mk LXXXVI,Tenia,Wonus,Huyama"
#0051,Xaturn,"l,l,l,l,l,l,l,l",8,0,24,3,0,0,0.330,0.330,"Yutera Mk LXXXIV,Xunus Mk XII,Zoclite,Jeliv,Qustea,Dovis v46.22,Nehiri,Quphus"
#0087,Doyama Mk VII,"w,w,w,l,l,w,w,l",8,15,24,45,0,0,0.625,0.625,"Selia,Qewei,Dayama,Keclite,Wonus,Durus v12.47,Soria,Doruta"
#0106,Jatania,"w,l,l,w,w,w,l,l",8,12,24,45,0,0,0.500,0.625,"Fucury,Petania Mk LXXXVII,Dutune,Pecury,Sugantu,Felea,Xotune v29.73,Nonia"
#0078,Zuter,"w,l,l,l,w,l,w,w",8,12,24,45,0,0,0.500,0.625,"Dovis v46.22,Honov,Qalea,Muhiri v31.23,Tonides,Quwei,Iunus v35.24,Konus Mk LVIII"
#0062,Nanov,"w,l,w,w,l,w,w,l",8,15,24,42,0,0,0.625,0.583,"Matania,Fatera,Buwei,Qalea,Waria v41.6,Humia,Senus Mk XLIX,Fuwei"
#0079,Dutune,"l,w,w,l,w,l,w,l",8,12,24,39,0,0,0.500,0.542,"Huthea,Humia,Jatania,Petania Mk LXXXVII,Quwei,Honov,Soter v3.44,Fupra"
#0034,Pucury v46.28,"l,w,l,l,l,w,w,w",8,12,24,45,0,0,0.500,0.625,"Julea,Jeliv,Vucarro v33.11,Soter v3.44,Konus Mk LVIII,Bonope,Wehines Mk L,Iapra"
#0037,Decarro,"w,w,l,w,l,l,w,w",8,15,24,45,0,0,0.625,0.625,"Getis,Vophus,Ianov,Yutania,Qater,Ronus v28.11,Humia,Secarro"
#0109,Ioliv,"l,l,l,w,w,w,w,l",8,12,24,39,0,0,0.500,0.542,"Tuvis,Wehines Mk L,Fabos,Henerth Mk VIII,Quphus,Qunus,Suria Mk XCVII,Peter"
#0053,Zostea,"w,w,l,w,l,l,w,l",8,12,24,39,0,0,0.500,0.542,"Tepra,Julea,Huyama,Vucarro v33.11,Xunus Mk XII,Iavis v40.72,Quwei,Vathea"
#0098,Suria Mk XCVII,"w,l,l,w,l,w,l,l",8,9,24,30,0,0,0.375,0.417,"Lacarro,Wuter Mk XVII,Quwei,Turilia v28.53,Gohiri,Sugantu,Ioliv,Nostea"
#0117,Cethea,"l,w,w,w,l,w,l,l",8,12,24,33,0,0,0.500,0.458,"Nalea v36.5,Nehiri,Soter v3.44,Vophus,Yenus,Wuturn v18.96,Wonus,Felea"
#0004,Pecury,"l,w,l,l,l,w,l,w",8,9,24,18,0,0,0.375,0.330,"Petania Mk LXXXVII,Cotania,Ronus v28.11,Jatania,Ienov,Xulia,Qustea,Sugantu"
#0055,Sulara v35.90,"w,w,w,l,w,w,l,w",8,18,24,48,0,0,0.750,0.667,"Fabos,Nuthea,Later,Fuwei,Qewei,Wonus,Funerth,Tuvis"
#0080,Fuwei,"w,w,w,w,l,l,w,w,w,l",10,21,30,48,0,0,0.700,0.533,"Ronus v28.11,Tewei v11.69,Herilia v14.82,Sulara v35.90,Negantu,Yenus,Petania Mk LXXXVII,Nanov,Xetune,Wustea Mk LXXXVI"
#0038,Selia,"l,l,w,l,l,l,w,l",8,6,24,21,0,0,0.330,0.330,"Doyama Mk VII,Xetune,Lethea Mk XCVII,Lanus,Jolea,Qewei Mk XCV,Lacarro,Tonides"
#0030,Yenus,"w,l,w,w,w,w,l,l",8,15,24,39,0,0,0.625,0.542,"Monus,Huyama,Lacarro,Iavis v40.72,Cethea,Fuwei,Fanov v33.40,Herilia v14.82"
#0143,Ronope Mk LXVIII,"l,w,l,w,l,l,w,l",8,9,24,30,0,0,0.375,0.417,"Wonus,Fucury,Yutania,Peturn,Vophus,Guthea,Purilia Mk XXXV,Ienov"
#0115,Lethea Mk XCVII,"l,l,l,w,l,w,w,l",8,9,24,36,0,0,0.375,0.500,"Tubos,Sophus,Selia,Qustea,Iunus v35.24,Quphus,Potera,Quwei"
#0088,Julea,"w,l,l,w,l,w,w,w",8,15,24,42,0,0,0.625,0.583,"Pucury v46.28,Zostea,Felea,Vetania,Iavis v40.72,Konus Mk LVIII,Yestea,Guthea"
#0108,Getis,"l,l,w,l,w,l,w,l",8,9,24,30,0,0,0.375,0.417,"Decarro,Soter v3.44,Nehiri,Wuwei v12.30,Yutera Mk LXXXIV,Nutera,Qunus,Qalea"
#0047,Futis,"l,w,w,l,l,l,w,w",8,12,24,30,0,0,0.500,0.417,"Qaturn,Guthea,Turilia v28.53,Danov,Felea,Iapra,Jolea,Yestea"
#0122,Wanope,"w,w,w,w,w,w,l,l,l",9,18,27,45,0,0,0.667,0.556,"Pucarro,Juzuno v16.41,Wuter Mk XVII,Yayama,Wustea Mk LXXXVI,Danov,Xetune,Huyama,Xunus Mk XII"
#0058,Guthea,"l,l,l,w,w,w,w,l",8,12,24,48,0,0,0.500,0.667,"Soria,Futis,Lanus,Iuzuno,Foter,Ronope Mk LXVIII,Vophus,Julea"
#0050,Dovis v46.22,"l,l,l,l,l,w,w,l",8,6,24,27,0,0,0.330,0.375,"Zuter,Qewei Mk XCV,Yestea,Iunus v35.24,Futer,Xaturn,Xulia,Qunus"
#0029,Nehiri,"l,l,l,l,l,l,w,l",8,3,24,21,0,0,0.330,0.330,"Wustea Mk LXXXVI,Cethea,Getis,Rozuno,Xocury,Henerth Mk VIII,Xaturn,Jeliv"
#0121,Sugantu,"l,w,w,l,l,l,l,l",8,6,24,30,0,0,0.330,0.417,"Gaphus,Relia v12.42,Foter,Dayama,Jatania,Suria Mk XCVII,Fabos,Pecury"
#0001,Gaphus,"w,w,l,w,w,l,l,w",8,15,24,39,0,0,0.625,0.542,"Sugantu,Yutera Mk LXXXIV,Wonus,Wahiri Mk LXXIV,Matania,Xetune,Tuvis,Lanus"
#0125,Soter v3.44,"l,w,l,w,l,w,l,w",8,12,24,36,0,0,0.500,0.500,"Negantu,Getis,Cethea,Pucury v46.28,Logawa,Potera,Dutune,Huthea"
#0085,Fupra,"w,l,w,w,l,w,l,w",8,15,24,45,0,0,0.625,0.625,"Relia v12.42,Senus Mk XLIX,Muhiri v31.23,Wunus,Danov,Dayama,Waria v41.6,Dutune"
#0119,Xunus Mk XII,"l,w,w,w,w,w,w,w,w,w,l",11,27,33,78,0,0,0.818,0.788,"Kunope,Xaturn,Quphus,Felea,Zostea,Qater,Doruta,Fanov v33.40,Wanope,Negantu,Doruta"
#0128,Xetune,"l,w,w,w,w,w,w,l,l",9,18,27,54,0,0,0.667,0.667,"Nuthea,Selia,Nalea v36.5,Soria,Tewei v11.69,Gaphus,Wanope,Funerth,Fuwei"
#0015,Honov,"w,w,l,w,l,w,w,l",8,15,24,36,0,0,0.625,0.500,"Tetune,Zuter,Secarro,Fatera,Rugawa,Dutune,Qater,Kunope"
#0129,Peter,"l,w,l,l,l,w,w,w",8,12,24,36,0,0,0.500,0.500,"Fanov v33.40,Henerth Mk VIII,Iapra,Sophus,Bowei,Turilia v28.53,Tepra,Ioliv"
#0123,Fatera,"w,w,l,l,l,w,w,w",8,15,24,36,0,0,0.625,0.500,"Cotania,Nanov,Kunope,Honov,Tenia,Tubos,Vucarro v33.11,Senus Mk XLIX"
#0138,Bowei,"l,w,l,l,w,l,l,w",8,9,24,36,0,0,0.375,0.500,"Logawa,Lanus,Wanus v30.81,Hunus v28.9,Peter,Monus,Tubos,Potera"
#0059,Qewei,"w,l,w,w,l,l,l,w",8,12,24,36,0,0,0.500,0.500,"Nonia,Doyama Mk VII,Tetune,Wuter Mk XVII,Sulara v35.90,Wahiri Mk LXXIV,Monus,Vophus"
#0120,Waria v41.6,"l,w,w,w,w,l,w,w",8,18,24,45,0,0,0.750,0.625,"Huyama,Purilia Mk XXXV,Ferilia,Senus Mk XLIX,Nanov,Juzuno v16.41,Fupra,Rugawa"
#0016,Purilia Mk XXXV,"l,l,w,w,l,l,l,l",8,6,24,24,0,0,0.330,0.333,"Wuwei v12.30,Waria v41.6,Henerth Mk VIII,Konus Mk LVIII,Lanus,Yutania,Ronope Mk LXVIII,Turilia v28.53"
#0006,Sophus,"l,w,l,w,l,w,w,l",8,12,24,33,0,0,0.500,0.458,"Turilia v28.53,Lethea Mk XCVII,Tuvis,Peter,Nonia,Megantu,Ienov,Zoclite"
#0139,Konus Mk LVIII,"w,l,l,l,w,l,w,l",8,9,24,27,0,0,0.375,0.375,"Iunus v35.24,Gohiri,Qunus,Purilia Mk XXXV,Pucury v46.28,Julea,Peturn,Zuter"
#0099,Vathea,"w,w,l,l,w,l,w,w",8,15,24,39,0,0,0.625,0.542,"Wanus v30.81,Turilia v28.53,Negantu,Selea,Qunus,Soria,Huthea,Zostea"
#0005,Cotania,"l,l,l,l,l,l,w,w",8,6,24,27,0,0,0.330,0.375,"Fatera,Pecury,Potera,Xulia,Megantu,Foter,Fucury,Bonope"
#0102,Huyama,"w,w,w,w,w,l,w,w,w,l",10,24,30,72,0,0,0.800,0.800,"Waria v41.6,Yenus,Zostea,Qater,Keclite,Ianov,Rugawa,Wanope,Keclite,Ianov"
#0091,Qalea,"l,w,w,l,l,w,l,w",8,12,24,36,0,0,0.500,0.500,"Juzuno v16.41,Fabos,Zuter,Nanov,Hunus v28.9,Nostea,Felea,Getis"
#0027,Yutania,"w,l,w,l,l,w,w,l",8,12,24,36,0,0,0.500,0.500,"Potera,Qaturn,Ronope Mk LXVIII,Decarro,Xotune v29.73,Purilia Mk XXXV,Durus v12.47,Iavis v40.72"
#0096,Funerth,"w,w,w,l,w,w,w,w,w,l",10,24,30,57,0,0,0.800,0.633,"Yestea,Selea,Huthea,Negantu,Dayama,Tuvis,Sulara v35.90,Xetune,Kunope,Doruta"
#0101,Fabos,"l,l,w,l,w,l,w,l",8,9,24,18,0,0,0.375,0.330,"Sulara v35.90,Qalea,Ioliv,Humia,Vetania,Wuter Mk XVII,Sugantu,Rozuno"
#0061,Wuturn v18.96,"w,l,w,w,l,l,l,w",8,12,24,45,0,0,0.500,0.625,"Futer,Dayama,Wehines Mk L,Tubos,Kunope,Cethea,Yocarro Mk XLVII,Vucarro v33.11"
#0011,Wuwei v12.30,"w,l,l,w,l,w,l,w",8,12,24,24,0,0,0.500,0.333,"Purilia Mk XXXV,Huthea,Juzuno v16.41,Getis,Qaturn,Jolea,Gohiri,Futer"
#0100,Turilia v28.53,"w,l,l,l,w,l,l,w",8,9,24,30,0,0,0.375,0.417,"Sophus,Vathea,Futis,Suria Mk XCVII,Qewei Mk XCV,Peter,Halea v22.63,Purilia Mk XXXV"
#0076,Qater,"w,w,w,l,w,l,l,l",8,12,24,30,0,0,0.500,0.417,"Felea,Nutera,Petania Mk LXXXVII,Huyama,Decarro,Xunus Mk XII,Honov,Gohiri"
#0003,Tubos,"w,l,w,l,l,l,w,l",8,9,24,33,0,0,0.375,0.458,"Lethea Mk XCVII,Ianov,Ienov,Wuturn v18.96,Tetune,Fatera,Bowei,Matania"
#0105,Nalea v36.5,"w,l,l,w,w,l,w,w",8,15,24,36,0,0,0.625,0.500,"Cethea,Later,Xetune,Toliv v6.73,Wunus,Xotune v29.73,Iapra,Jenides"
#0124,Fanov v33.40,"w,w,w,w,w,l,w,l,l",9,18,27,54,0,0,0.667,0.667,"Peter,Logawa,Jenides,Secarro,Doruta,Negantu,Yenus,Xunus Mk XII,Doruta"
#0032,Later,"w,w,l,l,l,l,w,l",8,9,24,30,0,0,0.375,0.417,"Wunus,Nalea v36.5,Sulara v35.90,Tuvis,Durus v12.47,Ienov,Cuvis,Humia"
#0084,Iuzuno,"l,l,l,l,w,l,w,l",8,6,24,21,0,0,0.330,0.330,"Iavis v40.72,Felea,Toliv v6.73,Guthea,Henerth Mk VIII,Peturn,Yutera Mk LXXXIV,Jolea"
#0133,Felea,"l,w,w,l,w,l,w,w",8,15,24,51,0,0,0.625,0.708,"Qater,Iuzuno,Julea,Xunus Mk XII,Futis,Jatania,Qalea,Cethea"
#0132,Vetania,"l,l,w,l,l,l,w,w",8,9,24,33,0,0,0.375,0.458,"Jenides,Durus v12.47,Xocury,Julea,Fabos,Tonides,Quphus,Xulia"
#0092,Yestea,"l,l,w,l,w,w,l,l",8,9,24,30,0,0,0.375,0.417,"Funerth,Tepra,Dovis v46.22,Yocarro Mk XLVII,Fucury,Toliv v6.73,Julea,Futis"
#0014,Qewei Mk XCV,"l,w,l,l,l,w,l,w",8,9,24,27,0,0,0.375,0.375,"Secarro,Dovis v46.22,Matania,Relia v12.42,Turilia v28.53,Selia,Nostea,Henerth Mk VIII"
#0067,Rozuno,"l,l,l,w,w,w,l,w",8,12,24,39,0,0,0.500,0.542,"Quwei,Ronus v28.11,Manope Mk XXXVII,Nehiri,Lacarro,Halea v22.63,Nutera,Fabos"
#0020,Humia,"l,l,w,w,w,l,l,w",8,12,24,36,0,0,0.500,0.500,"Xotune v29.73,Dutune,Fucury,Fabos,Vucarro v33.11,Nanov,Decarro,Later"
#0002,Nonia,"l,w,l,w,w,l,w,w",8,15,24,39,0,0,0.625,0.542,"Qewei,Peturn,Haruta Mk XLIX,Ienov,Sophus,Hunus v28.9,Tetune,Jatania"
#0033,Lacarro,"l,w,l,l,l,w,l,w",8,9,24,24,0,0,0.375,0.333,"Suria Mk XCVII,Bonope,Yenus,Logawa,Rozuno,Yutera Mk LXXXIV,Selia,Xocury"
#0039,Cuvis,"l,l,w,w,l,l,l,w",8,9,24,30,0,0,0.375,0.417,"Dayama,Vucarro v33.11,Jeliv,Bonope,Pucarro,Buwei,Later,Peturn"
#0036,Tenia,"l,w,w,w,w,l,l,w",8,15,24,42,0,0,0.625,0.583,"Jolea,Qustea,Halea v22.63,Qunus,Fatera,Kunope,Keclite,Petania Mk LXXXVII"
#0073,Vophus,"w,l,w,l,w,l,l,l",8,9,24,24,0,0,0.375,0.333,"Jeliv,Decarro,Logawa,Cethea,Ronope Mk LXVIII,Jenides,Guthea,Qewei"
#0144,Muhiri v31.23,"w,l,l,w,w,w,l,w",8,15,24,42,0,0,0.625,0.583,"Manope Mk XXXVII,Doruta,Fupra,Zuter,Buwei,Pucarro,Selea,Yocarro Mk XLVII"
#0043,Dayama,"w,w,l,w,l,l,w,l",8,12,24,36,0,0,0.500,0.500,"Cuvis,Wuturn v18.96,Doyama Mk VII,Sugantu,Funerth,Fupra,Buwei,Monus"
#0127,Quwei,"w,l,w,l,l,w,l,w",8,12,24,24,0,0,0.500,0.333,"Rozuno,Yayama,Suria Mk XCVII,Herilia v14.82,Dutune,Zuter,Zostea,Lethea Mk XCVII"
#0031,Ianov,"w,w,w,w,w,w,w,w,w,w,l",11,30,33,75,0,0,0.909,0.758,"Bonope,Tubos,Decarro,Kunope,Petania Mk LXXXVII,Huyama,Negantu,Nuthea,Nuthea,Huyama,Wustea Mk LXXXVI"
#0097,Foter,"l,w,l,l,l,w,w,w",8,12,24,39,0,0,0.500,0.542,"Yocarro Mk XLVII,Megantu,Sugantu,Tetune,Guthea,Cotania,Toliv v6.73,Durus v12.47"
#0040,Wuter Mk XVII,"w,w,l,l,l,w,l,w",8,12,24,45,0,0,0.500,0.625,"Qustea,Suria Mk XCVII,Wanope,Qewei,Soria,Fabos,Qaturn,Wanus v30.81"
#0017,Wonus,"w,w,w,l,w,l,w,l",8,15,24,39,0,0,0.625,0.542,"Ronope Mk LXVIII,Halea v22.63,Gaphus,Wustea Mk LXXXVI,Doyama Mk VII,Sulara v35.90,Cethea,Keclite"
#0052,Qustea,"l,l,l,l,w,w,w,l",8,9,24,33,0,0,0.375,0.458,"Wuter Mk XVII,Tenia,Relia v12.42,Lethea Mk XCVII,Xaturn,Fucury,Pecury,Tetune"
#0008,Tepra,"l,w,l,l,l,w,l,w",8,9,24,27,0,0,0.375,0.375,"Zostea,Yestea,Soria,Ferilia,Senus Mk XLIX,Jeliv,Peter,Megantu"
#0042,Potera,"l,l,w,l,w,l,l,l",8,6,24,18,0,0,0.330,0.330,"Yutania,Buwei,Cotania,Manope Mk XXXVII,Jeliv,Soter v3.44,Lethea Mk XCVII,Bowei"
#0012,Yutera Mk LXXXIV,"w,l,l,l,l,l,l,l",8,3,24,15,0,0,0.330,0.330,"Xaturn,Gaphus,Xotune v29.73,Buwei,Getis,Lacarro,Iuzuno,Fucury"
#0134,Tetune,"l,w,l,w,w,l,l,w",8,12,24,33,0,0,0.500,0.458,"Honov,Zoclite,Qewei,Foter,Tubos,Haruta Mk XLIX,Nonia,Qustea"
#0019,Iavis v40.72,"w,l,w,l,w,w,w,w",8,18,24,51,0,0,0.750,0.708,"Iuzuno,Negantu,Tonides,Yenus,Julea,Zostea,Tewei v11.69,Yutania"
#0071,Secarro,"w,w,w,l,w,l,l,l",8,12,24,36,0,0,0.500,0.500,"Qewei Mk XCV,Ferilia,Honov,Fanov v33.40,Yayama,Doruta,Logawa,Decarro"
#0064,Zoclite,"l,l,w,w,w,l,w,w",8,15,24,42,0,0,0.625,0.583,"Rugawa,Tetune,Xaturn,Tonides,Iapra,Ferilia,Matania,Sophus"
#0021,Selea,"w,l,w,w,l,w,w,w,l",9,18,27,48,0,0,0.667,0.593,"Haruta Mk XLIX,Funerth,Jolea,Vathea,Nuthea,Lanus,Muhiri v31.23,Ronus v28.11,Wustea Mk LXXXVI"
#0044,Wunus,"l,w,w,l,l,w,l,w",8,12,24,33,0,0,0.500,0.458,"Later,Futer,Monus,Fupra,Nalea v36.5,Wanus v30.81,Danov,Buwei"
#0007,Nostea,"l,l,w,w,l,l,w,w",8,12,24,30,0,0,0.500,0.417,"Senus Mk XLIX,Monus,Iunus v35.24,Quphus,Ronus v28.11,Qalea,Qewei Mk XCV,Suria Mk XCVII"
#0075,Jenides,"w,w,l,w,l,w,l,l",8,12,24,36,0,0,0.500,0.500,"Vetania,Xotune v29.73,Fanov v33.40,Gohiri,Tuvis,Vophus,Ronus v28.11,Nalea v36.5"
#0028,Senus Mk XLIX,"w,w,l,l,w,w,l,l",8,12,24,39,0,0,0.500,0.542,"Nostea,Fupra,Yayama,Waria v41.6,Tepra,Qaturn,Nanov,Fatera"
#0083,Hunus v28.9,"l,w,l,w,w,w,l,w",8,15,24,45,0,0,0.625,0.625,"Danov,Toliv v6.73,Tewei v11.69,Bowei,Qalea,Nonia,Herilia v14.82,Nutera"
#0070,Qunus,"w,l,w,l,l,l,l,w",8,9,24,27,0,0,0.375,0.375,"Durus v12.47,Kunope,Konus Mk LVIII,Tenia,Vathea,Ioliv,Getis,Dovis v46.22"
